activationDate;UID;SAM;paymentInRubles
2019-03-26;36126117123737604;1174395099372160;400
2019-03-26;36108989063074308;1174395099372160;500
2019-03-26;36093889838224900;1174523670649472;200
2019-03-26;1306009187;1174536833292928;150
2019-03-26;36093355784311300;1174553735420544;500
2019-03-26;36132937264021764;1174562325355136;100
2019-03-26;36126404750431236;1174571193031296;300
2019-03-26;36125229676176132;1175404138945152;200
2019-03-26;36131399396047620;1175404138945152;100
2019-03-26;36122224406763012;1175412728879744;250
2019-03-26;36128902274294276;1175412728879744;500
2019-03-26;36102793572861188;1175434481457792;200
2019-03-26;36081385574401028;1175494610999936;300
2019-03-26;3835278413;1175503200934528;200
2019-03-26;490464189;1175507218160256;500
2019-03-26;36081384099780100;1175507495901824;3000
2019-03-26;36115506000324100;1175558757767808;350
2019-03-26;36126104641942532;1175580232604288;500
2019-03-26;36126104641756676;1175580232604288;500
2019-03-26;36115506543358724;1175601985182336;1500
2019-03-26;1199091555;1176516813216384;200
2019-03-26;36132629368217092;1176529698118272;200
2019-03-26;36125564682648324;1176538288052864;245
2019-03-26;1239668416;1176550895213184;550
2019-03-26;36125180684622084;1176568075082368;1000
2019-03-26;36125565351895300;1176572370049664;100
2019-03-26;36102819878575108;1176602434820736;500
2019-03-26;36126384085149956;1176602712562304;200
2019-03-26;36102793170681860;1176611302496896;500
2019-03-26;36128904826913796;1176658547137152;200
2019-03-26;36064300331832836;1176727266613888;100
2019-03-26;494188813;1177616047102592;300
2019-03-26;36122224141434628;1177633226971776;150
2019-03-26;36064302078072836;1177646389615232;1000
2019-03-26;36113866938875652;1177689061546624;200
2019-03-26;36115506273399300;1177719126317696;50
2019-03-26;591815005;1177766370957952;300
2019-03-26;36087141774083076;1177817910565504;300
2019-03-26;36073783215883524;1177826500500096;500
2019-03-26;3862426026;1177865432947328;50
2019-03-26;36108988932063748;1178698656602752;490
2019-03-26;36102787127786756;1178698656602752;100
2019-03-26;36116856367031044;1178788850915968;300
2019-03-26;36093355649928452;1178822932912768;155
2019-03-26;36126849146041604;1178921994902144;230
2019-03-26;36075741051308804;1179815348099712;1000
2019-03-26;36126385158889476;1179819365325440;204
2019-03-26;1879286387;1179948492085888;500
2019-03-26;36128904824324612;1180055866268288;300
2019-03-26;36093355785681156;1180919154694784;120
2019-03-26;36127154357149444;1180974989269632;340
2019-03-26;36127193821033220;1180987874171520;500
2019-03-26;36128902276718084;1181000759073408;500
2019-03-26;36115506136887044;1181060888615552;700
2019-03-26;36116256012192260;1181060888615552;1000
2019-03-26;36126105444231428;1182035846191744;500
2019-03-26;36131398722333700;1182078795864704;1000
2019-03-26;36125181085558532;1182078795864704;100
2019-03-26;36086783415501316;1182087385799296;600
2019-03-26;36132670168573700;1182203349916288;200
2019-03-26;36124333099792132;1182216234818176;300
2019-03-26;36131393489943812;1183135357819520;300
2019-03-26;36128904830808836;1183139652786816;200
2019-03-26;36073783214231300;1183178307492480;322
2019-03-26;36131399663884548;1183229847100032;500
2019-03-26;36126405557225220;1183229847100032;400
2019-03-26;36126405286777348;1183229847100032;200
2019-03-26;36128904830991876;1183302730404224;500
2019-03-26;36076389724270596;1183302730404224;700
2019-03-26;3862430154;1184277819120256;20
2019-03-26;36131390404508164;1184286409054848;500
2019-03-26;36124332294024964;1184290704022144;300
2019-03-26;36066615586362884;1184316473825920;500
2019-03-26;36126403408771332;1184389488269952;1000
2019-03-26;36117034741878532;1184440896737664;150
2019-03-26;36108988932958468;1185317201205888;500
2019-03-26;36093355782771460;1185351560944256;500
2019-03-26;4112470819;1185420280420992;500
2019-03-26;36126678151999236;1185420280420992;2000
2019-03-26;36086782743442436;1185471820028544;500
2019-03-26;3247209152;1185476114995840;300
2019-03-26;36127154628936452;1185476114995840;31
2019-03-26;36128904823854084;1185510474734208;500
2019-03-26;36125172763865604;1187580648970880;500
2019-03-26;36127193548986628;1187593533872768;500
2019-03-26;4250317773;1187645073480320;500
2019-03-26;36116257221711364;1187649368447616;200
2019-03-26;36124332028412676;1187649368447616;500
2019-03-26;36125898882761476;1187705203022464;300
2019-03-26;36125181894403076;1188714520337024;135
2019-03-26;3890224448;1188714520337024;300
2019-03-26;36087141508143108;1188714520337024;200
2019-03-26;36127156508894724;1188757338870144;500
2019-03-26;36076408649497348;1189899931310720;100
2019-03-26;36102821760932612;1189899931310720;300
2019-03-26;36126098870451460;1189899931310720;300
2019-03-26;36076408513040900;1190900658690688;300
2019-03-26;36126404212502532;1190990721864064;40
2019-03-26;36102792769322756;1193155385381248;39
2019-03-26;36126104508378628;1193194040086912;250
2019-03-26;36081337660935172;1193194040086912;200
2019-03-26;36075740382849540;1195307163996544;284
2019-03-26;36131397783992836;1196415265558912;500
